ori,months_reported,sex_acts,sex_acts_cleared,sex_acts_juvenile_cleared,servitude,servitude_cleared,servitude_juvenile_cleared
MO00504,7,0,0,0,0,0,0
MO00505,5,0,0,0,0,0,0
MO00507,5,0,0,0,0,0,0
MO00508,5,0,0,0,0,0,0
MO00510,5,0,0,0,0,0,0
MO00600,9,0,0,0,0,0,0
MO00601,9,0,0,0,0,0,0
MO00609,6,0,0,0,0,0,0
MO00700,6,0,0,0,0,0,0
MO00701,5,0,0,0,0,0,0
MO00702,5,0,0,0,0,0,0
MO00704,5,0,0,0,0,0,0
MO00800,12,0,0,0,0,0,0
MO00801,12,0,0,0,0,0,0
MO00802,5,0,0,0,0,0,0
MO00803,7,0,0,0,0,0,0
MO00900,5,0,0,0,0,0,0
MO00902,5,0,0,0,0,0,0
MO01000,5,0,0,0,0,0,0
MO01001,6,0,0,0,0,0,0
MO01002,7,0,0,0,0,0,0
MO01003,12,0,0,0,0,0,0
MO01004,7,0,0,0,0,0,0
MO01005,6,0,0,0,0,0,0
MO01006,6,0,0,0,0,0,0
MO01100,5,0,0,0,0,0,0
MO01101,5,0,0,0,0,0,0
MO01111,6,0,0,0,0,0,0
MO01200,5,0,0,0,0,0,0
MO01202,5,0,0,0,0,0,0
MO01203,6,0,0,0,0,0,0
MO01205,6,0,0,0,0,0,0
MO01300,6,0,0,0,0,0,0
MO01301,5,0,0,0,0,0,0
MO01303,6,0,0,0,0,0,0
MO01307,11,0,0,0,0,0,0
MO01400,6,0,0,0,0,0,0
MO01401,6,0,0,0,0,0,0
MO01403,6,0,0,0,0,0,0
MO01404,6,0,0,0,0,0,0
MO01405,7,0,0,0,0,0,0
MO01500,5,0,0,0,0,0,0
MO01501,7,0,0,0,0,0,0
MO01502,5,0,0,0,0,0,0
MO01506,6,0,0,0,0,0,0
MO01600,5,0,0,0,0,0,0
MO01601,6,0,0,0,0,0,0
MO01602,6,0,0,0,0,0,0
MO01603,5,0,0,0,0,0,0
MO01609,5,0,0,0,0,0,0
MO01700,6,0,0,0,0,0,0
MO01701,11,0,0,0,0,0,0
MO01703,7,0,0,0,0,0,0
MO01800,6,0,0,0,0,0,0
MO01801,12,0,0,0,0,0,0
MO01802,5,0,0,0,0,0,0
MO01803,5,0,0,0,0,0,0
MO01900,6,0,0,0,0,0,0
MO01901,6,0,0,0,0,0,0
MO01902,7,0,0,0,0,0,0
MO01903,6,0,0,0,0,0,0
MO01904,5,0,0,0,0,0,0
MO01905,6,0,0,0,0,0,0
MO01906,5,0,0,0,0,0,0
MO01907,6,0,0,0,0,0,0
MO01908,7,0,0,0,0,0,0
MO01909,5,0,0,0,0,0,0
MO01910,6,0,0,0,0,0,0
MO01911,5,0,0,0,0,0,0
MO01913,5,0,0,0,0,0,0
MO01916,6,0,0,0,0,0,0
MO02000,6,0,0,0,0,0,0
MO02001,5,0,0,0,0,0,0
MO02100,7,0,0,0,0,0,0
MO02101,12,0,0,0,0,0,0
MO02104,7,0,0,0,0,0,0
MO02200,8,0,0,0,0,0,0
MO02201,7,0,0,0,0,0,0
MO02202,6,0,0,0,0,0,0
MO02203,5,0,0,0,0,0,0
MO02204,5,0,0,0,0,0,0
MO02205,6,0,0,0,0,0,0
MO02208,6,0,0,0,0,0,0
MO02300,6,0,0,0,0,0,0
MO02301,6,0,0,0,0,0,0
MO02400,5,0,0,0,0,0,0
MO02402,7,0,0,0,0,0,0
MO02403,5,0,0,0,0,0,0
MO02405,5,0,0,0,0,0,0
MO02406,6,0,0,0,0,0,0
MO02407,8,0,0,0,0,0,0
MO02409,5,0,0,0,0,0,0
MO02410,9,0,0,0,0,0,0
MO02415,5,0,0,0,0,0,0
MO02416,5,0,0,0,0,0,0
MO02417,6,0,0,0,0,0,0
MO02420,12,0,0,0,0,0,0
MO02500,5,0,0,0,0,0,0
MO02501,5,0,0,0,0,0,0
MO02502,5,0,0,0,0,0,0
MO02503,7,0,0,0,0,0,0
MO02504,5,0,0,0,0,0,0
MO02505,5,0,0,0,0,0,0
MO02507,6,0,0,0,0,0,0
MO02600,6,0,0,0,0,0,0
MO02601,5,0,0,0,0,0,0
MO02612,12,0,0,0,0,0,0
MO02613,12,0,0,0,0,0,0
MO02615,12,0,0,0,0,0,0
MO02616,12,0,0,0,0,0,0
MO02617,12,0,0,0,0,0,0
MO02618,6,0,0,0,0,0,0
MO02621,12,0,0,0,0,0,0
MO02700,6,0,0,0,0,0,0
MO02701,5,0,0,0,0,0,0
MO02705,7,0,0,0,0,0,0
MO02800,7,0,0,0,0,0,0
MO02801,8,0,0,0,0,0,0
MO02802,6,0,0,0,0,0,0
MO02803,6,0,0,0,0,0,0
MO02806,6,0,0,0,0,0,0
MO02810,6,0,0,0,0,0,0
MO02900,6,0,0,0,0,0,0
MO02901,5,0,0,0,0,0,0
MO03000,5,0,0,0,0,0,0
MO03001,5,0,0,0,0,0,0
MO03002,6,0,0,0,0,0,0
MO03100,6,0,0,0,0,0,0
MO03101,7,0,0,0,0,0,0
MO03200,6,0,0,0,0,0,0
MO03201,5,0,0,0,0,0,0
MO03203,12,0,0,0,0,0,0
MO03300,5,0,0,0,0,0,0
MO03301,6,0,0,0,0,0,0
MO03400,12,0,0,0,0,0,0
MO03401,6,0,0,0,0,0,0
MO03500,6,0,0,0,0,0,0
MO03501,6,0,0,0,0,0,0
MO03502,7,0,0,0,0,0,0
MO03503,6,0,0,0,0,0,0
MO03504,7,0,0,0,0,0,0
MO03505,5,0,0,0,0,0,0
MO03506,6,0,0,0,0,0,0
MO03507,6,0,0,0,0,0,0
MO03508,7,0,0,0,0,0,0
MO03509,10,0,0,0,0,0,0
MO03600,6,0,0,0,0,0,0
MO03602,5,0,0,0,0,0,0
MO03603,5,0,0,0,0,0,0
MO03604,6,0,0,0,0,0,0
MO03605,7,0,0,0,0,0,0
MO03607,5,0,0,0,0,0,0
MO03608,5,0,0,0,0,0,0
MO03617,6,0,0,0,0,0,0
MO03700,6,0,0,0,0,0,0
MO03702,5,0,0,0,0,0,0
MO03703,5,0,0,0,0,0,0
MO03704,7,0,0,0,0,0,0
MO03800,6,0,0,0,0,0,0
MO03802,5,0,0,0,0,0,0
MO03900,8,0,0,0,0,0,0
MO03901,8,0,0,0,0,0,0
MO03902,5,0,0,0,0,0,0
MO03903,8,0,0,0,0,0,0
MO03904,6,0,0,0,0,0,0
MO03905,5,0,0,0,0,0,0
MO03907,5,0,0,0,0,0,0
MO03908,6,0,0,0,0,0,0
MO03909,6,0,0,0,0,0,0
MO03914,5,0,0,0,0,0,0
MO04000,6,0,0,0,0,0,0
MO04001,5,0,0,0,0,0,0
MO04100,6,0,0,0,0,0,0
MO04101,7,0,0,0,0,0,0
MO04200,6,0,0,0,0,0,0
MO04201,5,0,0,0,0,0,0
MO04202,3,0,0,0,0,0,0
MO04300,6,0,0,0,0,0,0
MO04400,6,0,0,0,0,0,0
MO04404,5,0,0,0,0,0,0
MO04405,6,0,0,0,0,0,0
MO04500,5,0,0,0,0,0,0
MO04501,7,0,0,0,0,0,0
MO04502,5,0,0,0,0,0,0
MO04503,5,0,0,0,0,0,0
MO04600,6,0,0,0,0,0,0
MO04601,8,0,0,0,0,0,0
MO04602,5,0,0,0,0,0,0
MO04603,6,0,0,0,0,0,0
MO04700,6,0,0,0,0,0,0
MO04701,6,0,0,0,0,0,0
MO04702,5,0,0,0,0,0,0
MO04703,10,0,0,0,0,0,0
MO04705,5,0,0,0,0,0,0
MO04800,12,0,0,0,0,0,0
MO04801,12,0,0,0,0,0,0
MO04802,5,0,0,0,0,0,0
MO04804,7,0,0,0,0,0,0
MO04805,7,0,0,0,0,0,0
MO04806,7,0,0,0,0,0,0
MO04808,5,0,0,0,0,0,0
MO04810,6,0,0,0,0,0,0
MO04811,5,0,0,0,0,0,0
MO04812,5,0,0,0,0,0,0
MO04813,5,0,0,0,0,0,0
MO04819,5,0,0,0,0,0,0
MO04820,5,0,0,0,0,0,0
MO04823,6,0,0,0,0,0,0
MO04827,12,0,0,0,0,0,0
MO04900,7,0,0,0,0,0,0
MO04901,5,0,0,0,0,0,0
MO04902,6,0,0,0,0,0,0
MO04903,6,0,0,0,0,0,0
MO04904,5,0,0,0,0,0,0
MO04905,7,0,0,0,0,0,0
MO04906,6,0,0,0,0,0,0
MO04914,8,0,0,0,0,0,0
MO04921,7,0,0,0,0,0,0
MO04922,5,0,0,0,0,0,0
MO04928,5,0,0,0,0,0,0
MO05000,11,0,0,0,0,0,0
MO05001,5,0,0,0,0,0,0
MO05002,5,0,0,0,0,0,0
MO05003,6,0,0,0,0,0,0
MO05004,5,0,0,0,0,0,0
MO05005,5,0,0,0,0,0,0
MO05006,6,0,0,0,0,0,0
MO05007,6,0,0,0,0,0,0
MO05008,5,0,0,0,0,0,0
MO05015,6,0,0,0,0,0,0
